passer_id,passer,n_passes,total_EEPV_added,minutes,EEPV_added_per90
28293,Léo Sena,82,0.16337355455557065,96.0,0.15316270739584747
50951,J. Brimmer,93,0.3532445176581085,219.39,0.14491091931824499
51002,J. O'Shea,66,0.15632177520794355,102.13,0.13775540750724488
560983,A. Burke-Gilroy,45,0.1324431671756909,102.13,0.11671286640372253
51046,P. Retre,36,0.09423805073211265,88.17,0.09619399530327934
51048,J. King,48,0.085464936518477,82.78,0.09291911435930092
287934,Walid Shour,64,0.09787168508614065,102.13,0.08624744597819113
795527,M. Grimaldi,23,0.14503452789099364,164.05,0.07956786047052378
771861,Z. Schreiber,55,0.06061413014369016,76.96,0.07088450770441937
560882,F. Bérenguer,30,0.053847148421131474,72.1,0.06721558055342348
51045,A. Cáceres,94,0.14050724181674504,190.65,0.0663291464123108
43829,N. Moreno,36,0.1076765791452579,151.10000000000002,0.06413561961001461
159688,J. Valadon,64,0.13886563709266553,196.24,0.06368684946157714
965697,L. Herrington,73,0.06976194292082596,102.13,0.061476303367025725
51694,T. Gomulka,26,0.06517844910341203,102.13,0.05743719200339844
965685,L. Gillion,50,0.12204840131958385,194.95,0.05634447868049524
50992,K. Trewin,165,0.12209123254091184,197.47,0.055644963430810074
5805,K. Boli,43,0.05754810515931813,98.75,0.05244890596798614
23922,B. Garuccio,66,0.11330734518749774,194.48000000000002,0.0524355258477725
560894,A. Popovic,48,0.05284425348907495,94.65,0.05024810157439773
11117,Z. Machach,62,0.09561780714624363,183.18,0.04697894225986421
50977,J. Rawlins,47,0.07077719736194382,137.25,0.04641127695865169
735578,M. Natta,47,0.048457919533039226,98.4,0.04432126786558466
795510,B. Kaltak,35,0.047894819228848924,98.72,0.04366423957249193
560916,N. Botić,25,0.09328750765060283,194.48000000000002,0.04317089514888036
51685,L. Jackson,77,0.09301397388350599,196.24,0.04265826360332012
285188,A. Paulsen,59,0.1770661904385764,396.5,0.040191569078113186
51015,A. Rufer,75,0.08819208581854875,199.67,0.03975202946696743
50978,C. Timmins,29,0.03721479415954704,86.26,0.03882832685322552
771859,P. Beach,105,0.08487332610356652,197.47,0.0386823281983136
157294,R. Teague,62,0.06546698259027323,156.5,0.03764874398162677
69111,H. Bility,60,0.02841369339819987,69.03,0.03704523259217714
51013,B. Hamill,26,0.03624470195518895,89.74,0.0363497122349789
809759,P. Kikianis,45,0.037512440855641885,96.0,0.03516791330216427
998256,K. Shaw,41,0.04648703415819845,128.42000000000002,0.032579295080500385
560917,R. Bozinovski,47,0.04487278800486843,123.98,0.03257421294110468
51675,A. Thurgate,55,0.06511206674245879,180.31,0.03250006104387605
795544,W. Kamijo,29,0.032448056552985126,94.65,0.030853936500461292
176224,P. Cancar,51,0.03359423946081756,98.4,0.03072643853123557
42510,S. Wootton,64,0.06738622456817271,199.67,0.0303739180204114
50999,M. Freke,25,0.033972484738141136,102.13,0.02993756610626361
26766,B. Vriends,44,0.03170807807931232,96.0,0.0297263231993553
4322,H. Sakai,86,0.09423715266894347,298.1,0.02845133760551799
795508,H. Steele,24,0.027234589873269446,87.28,0.02808333052926501
133498,F. De Vries,104,0.10127822071634528,328.12,0.027779592418843944
133495,C. Howieson,24,0.024127909493871818,79.16,0.027431933482168568
51028,S. Sutton,60,0.05794861432562008,198.01999999999998,0.02633761887337546
51008,T. Imai,39,0.04720867293589875,175.76,0.024173762882515288
